,610,610_end,weekday,dayofweek,hour,minute,day,holiday,freetaxi,559,560,561,609,611,659,660,661,559_end,560_end,561_end,609_end,611_end,659_end,660_end,661_end
2019-10-01 00:00:00,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 00:15:00,0,0,1,1,0,15,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2019-10-01 00:30:00,0,0,1,1,0,30,1,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 00:45:00,0,0,1,1,0,45,1,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 01:00:00,0,0,1,1,1,0,1,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-10-01 01:15:00,0,0,1,1,1,15,1,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2019-10-01 01:30:00,0,0,1,1,1,30,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-10-01 01:45:00,0,0,1,1,1,45,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 02:00:00,0,0,1,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 02:15:00,0,0,1,1,2,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 02:30:00,0,0,1,1,2,30,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 02:45:00,0,0,1,1,2,45,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 03:00:00,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 03:15:00,0,0,1,1,3,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 03:30:00,0,0,1,1,3,30,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 03:45:00,2,0,1,1,3,45,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 04:00:00,0,0,1,1,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 04:15:00,0,0,1,1,4,15,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-10-01 04:30:00,0,0,1,1,4,30,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 04:45:00,0,0,1,1,4,45,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 05:00:00,0,0,1,1,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 05:15:00,0,0,1,1,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01 05:30:00,0,0,1,1,5,30,1,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2019-10-01 05:45:00,0,0,1,1,5,45,1,0,7,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
2019-10-01 06:00:00,0,0,1,1,6,0,1,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2019-10-01 06:15:00,0,1,1,1,6,15,1,0,32,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
2019-10-01 06:30:00,0,1,1,1,6,30,1,0,50,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,1
2019-10-01 06:45:00,0,0,1,1,6,45,1,0,33,0,0,0,1,0,0,1,2,0,0,0,0,2,4,0,0
2019-10-01 07:00:00,0,1,1,1,7,0,1,0,30,0,0,0,0,0,2,5,4,0,0,2,1,4,0,1,3
2019-10-01 07:15:00,0,3,1,1,7,15,1,0,101,0,0,0,0,0,3,1,0,0,2,3,0,2,2,1,2
2019-10-01 07:30:00,0,3,1,1,7,30,1,0,148,0,0,0,0,0,1,1,4,2,4,5,5,9,0,3,2
2019-10-01 07:45:00,0,4,1,1,7,45,1,0,178,0,0,0,0,0,2,0,3,0,5,8,5,0,1,0,7
2019-10-01 08:00:00,1,2,1,1,8,0,1,0,202,0,0,0,9,0,9,1,18,2,2,17,2,1,1,2,3
2019-10-01 08:15:00,0,1,1,1,8,15,1,0,175,0,0,0,14,0,33,1,2,17,17,9,9,11,0,6,4
2019-10-01 08:30:00,0,2,1,1,8,30,1,0,116,0,0,0,3,0,1,0,2,2,2,7,1,4,2,2,3
2019-10-01 08:45:00,0,4,1,1,8,45,1,0,199,0,1,0,2,0,4,1,2,1,3,3,1,3,0,1,0
2019-10-01 09:00:00,0,1,1,1,9,0,1,0,132,0,0,0,0,0,1,0,4,1,3,2,2,4,0,2,0
2019-10-01 09:15:00,0,3,1,1,9,15,1,0,96,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
2019-10-01 09:30:00,0,3,1,1,9,30,1,0,91,0,1,0,0,0,0,0,0,0,1,11,1,1,0,0,0
2019-10-01 09:45:00,0,0,1,1,9,45,1,0,87,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,4
2019-10-01 10:00:00,0,1,1,1,10,0,1,0,48,1,0,0,0,0,1,0,0,0,1,2,0,0,0,2,1
2019-10-01 10:15:00,0,0,1,1,10,15,1,0,50,0,1,0,1,0,0,0,3,1,1,1,0,0,0,0,1
2019-10-01 10:30:00,0,2,1,1,10,30,1,0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-10-01 10:45:00,0,0,1,1,10,45,1,0,49,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1
2019-10-01 11:00:00,0,0,1,1,11,0,1,0,29,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,4
2019-10-01 11:15:00,0,0,1,1,11,15,1,0,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
2019-10-01 11:30:00,0,1,1,1,11,30,1,0,28,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,1
2019-10-01 11:45:00,0,0,1,1,11,45,1,0,55,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2
2019-10-01 12:00:00,1,0,1,1,12,0,1,0,45,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1
2019-10-01 12:15:00,0,1,1,1,12,15,1,0,62,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-10-01 12:30:00,2,0,1,1,12,30,1,0,37,0,1,1,0,0,2,1,0,0,0,1,0,1,0,1,0
2019-10-01 12:45:00,0,2,1,1,12,45,1,0,44,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
2019-10-01 13:00:00,1,0,1,1,13,0,1,0,36,0,0,1,1,0,1,0,0,0,0,1,0,2,0,2,0
2019-10-01 13:15:00,0,0,1,1,13,15,1,0,78,0,0,1,0,0,0,0,0,0,2,1,0,0,0,4,1
2019-10-01 13:30:00,0,0,1,1,13,30,1,0,55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2019-10-01 13:45:00,0,0,1,1,13,45,1,0,47,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1
2019-10-01 14:00:00,1,1,1,1,14,0,1,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
2019-10-01 14:15:00,0,1,1,1,14,15,1,0,40,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2019-10-01 14:30:00,0,1,1,1,14,30,1,0,67,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2019-10-01 14:45:00,1,2,1,1,14,45,1,0,48,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
2019-10-01 15:00:00,2,0,1,1,15,0,1,0,65,0,0,0,2,0,2,0,1,1,2,0,0,0,0,0,0
2019-10-01 15:15:00,0,1,1,1,15,15,1,0,72,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2019-10-01 15:30:00,0,1,1,1,15,30,1,0,53,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2019-10-01 15:45:00,0,0,1,1,15,45,1,0,30,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,1
2019-10-01 16:00:00,0,0,1,1,16,0,1,0,33,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,2
2019-10-01 16:15:00,0,1,1,1,16,15,1,0,47,0,0,1,2,1,1,1,0,0,0,0,0,0,1,1,1
2019-10-01 16:30:00,0,0,1,1,16,30,1,0,58,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,1
2019-10-01 16:45:00,1,0,1,1,16,45,1,0,66,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0
2019-10-01 17:00:00,1,0,1,1,17,0,1,0,37,0,3,2,3,0,1,0,2,0,2,0,0,0,1,3,0
2019-10-01 17:15:00,1,0,1,1,17,15,1,0,71,0,4,1,1,7,14,4,1,0,0,0,0,0,1,0,4
2019-10-01 17:30:00,3,0,1,1,17,30,1,0,82,0,3,1,3,4,1,3,1,0,0,0,0,1,0,0,3
2019-10-01 17:45:00,4,0,1,1,17,45,1,0,20,1,5,2,0,1,0,3,6,0,0,0,0,0,0,1,0
